X,Y,Z
150.118657,-282.944481,23.9544158
133.198757,-364.640371,8.77439587
99.2284768,-235.703386,27.6133752
-148.012922,-163.038507,0.20
110.476162,-297.326820,16.5774177
-142.227542,-170.771766,1.78526190
155.993939,-257.929947,0.20
-170.30609262,-56.68797252,44.16580110
-113.69072671,-66.49773462,64.84749815
-95.2081333,1.38584724,76.47779921
-96.57994492,-40.82346592,62.80162204
-104.22940963,13.43705119,109.40865679
-160.21693417,-67.50089320,72.49980333
-158.79343790,-3.42199222,29.04471634
-95.20813330,1.38584724,76.47779921
