X,Y,Z
-132.85524814,-122.23635591,7.89476043
-165.75902004,-4.05536358,26.63283631
-213.09001705,-143.30591362,29.90162993
-141.73006876,-8.55497075,1.92370621
-156.09883937,9.5891342,18.62382707
-138.27680308,15.84560011,28.01133767
-194.54768522,-138.82571686,29.00573643
-213.09001705,-143.30591362,29.90162993
5.05746529e+01,-3.70834370e+02,7.71066215e+00
-1.10752981e+02,-1.18948710e+02,2.00000003e-01
2.93658005e+01,-4.51757028e+02,2.00000003e-01
6.69609121e+01,-2.43401463e+02,4.03232632e+00
9.27255475e+01,-5.14238209e+02,2.83171797e+01
5.05746529e+01,-3.70834370e+02,7.71066215e+00
1.22202059e+02,-5.16802428e+02,9.65085182e+00
1.21933887e+02,-5.25106523e+02,9.84755677e+00
